Õ¬¬œ1;Œœœ;≤–œœ;%≤—÷;%≤Œ÷;ƒ¡;Ã2;—–;–œ— ; Õ¡”;√¡;¬ ; «œ;Œ _$;≤—÷ (+1)
6628;6013;45,7;2,4;1,5;2154;5698;76;5,1;5222;3668;9440;45884;1,87221;0,7
5730;5673;43,4;0,7;0,8;2077,4;5853;68;6,4;5353;3911;9634;45935;1,8419;0,1
5021;5316;42,5;0,1;0,4;2010,4;6077;53;6;5726;4074;10066;55583;1,81977;0,1
7209;5393;41,9;0,1;0,6;2733;6454;40;5,4;5283;4135;9806;53838;1,78084;5,7
6740;5272;41,5;5,7;0,4;2343,2;6162;40;-0,4;5501;3901;10022;55747;1,76;2
5115;5250;39,3;2;1;2360,4;6220;40;3,2;5694;4302;10324;60289;1,7601;1,5
10310;5794;40,1;1,5;0,1;2884,6;6407;40;3,8;5741;4212;10579;59226;1,77477;1,2
7529;5652;42,4;1,2;1,2;2853,6;6443;40;4,3;5927;4292;10849;60574;1,85917;0,9
11106;5895;43,6;0,9;0,9;4220,8;7306;40;4,2;5995;4882;11490;73168;1,88432;2,2
5920;5166;41,4;2,2;0,4;1827,7;7511;36;3;5768;5097;10862;72156;1,89145;1,2
6107;5076;42;1,2;0,4;2047,4;7599;35;4;5734;5132;10957;72784;1,84364;0,1
6670;5649;43,2;0,1;0,6;2665,6;8040;27;4,3;5856;5199;11394;84968;1,83708;0,8
7524;5533;43,8;0,8;0,9;2760,7;8473;25;3,5;6059;5619;11793;86805;1,84793;0,8
6998;5337;42,6;0,8;0,3;3130,1;8716;24;3,6;6151;5759;12104;86134;1,84277;0,1
6517;5321;41,5;0,1;0,4;2905,8;9279;21;4,1;6101;6122;12230;95149;1,85777;0,1
7860;5445;42,7;0,1;0,4;3189,9;9735;19;3,8;6373;6651;12777;92814;1,857;0
7503;5275;42,4;0;0;3698,2;10529;16;3,5;6135;7336;12807;93271;1,85629;1,2
7927;5660;43,5;1,2;0,1;3431,8;10464;16;2,2;6403;6877;13396;98428;1,86057;0,9
8847;6581;41,7;0,9;1,1;3458,4;10123;16;2,3;6199;6650;13467;93675;1,87129;0,9
8205;6168;42;0,9;0,2;3137,3;9927;23,9;2,6;6608;6593;13876;95017;1,87937;1,4
10683;5860;41,7;1,4;0,5;4636,9;10775;35;2,1;7142;7058;14277;97319;1,89503;1,3
6544;5454;41,3;1,3;0,8;2295,2;10236;35;2,3;7452;6795;14611;93979;1,90909;0,2
6511;5466;42,4;0,2;0,9;2267,1;10166;42,4;3,9;7479;6621;14782;97826;1,95656;0,2
7501;6535;42,6;0,2;0,7;3115,3;10973;42,6;3,9;7755;7096;15098;103873;2,03402;1,3
7504;5496;41,8;1,3;0,5;2866,6;10820;41;2,6;8605;7232;16098;104902;2,03992;0
7640;5695;41,8;0;0;2754,9;10847;43;3,9;8792;7062;16372;108729;2,04928;0
7491;5619;42,2;0;0,2;3101,6;11269;51;4;9386;7269;17020;114015;2,05886;-0,9
9309;5855;42;-0,9;0,6;3041,7;11480;76;5,4;10161;7411;17980;113886;2,10262;0,2
8594;5882;41,9;0,2;1,2;2861,2;11142;82;4,6;11888;7372;19844;114247;2,18321;3,8
9239;6263;40,7;3,8;9,4;3063,3;10873;82;1,5;13238;7534;22420;121125;2,18321;6,2
10514;7596;40,2;6,2;10,7;3302,9;11068;82;-0,2;14115;7887;23006;133221;3,42458;3
9905;7387;38,4;3;3,5;3311,5;11366;82;2,2;14230;8386;23120;134311;3,42722;3,3
10001;7971;41,1;3,3;2,9;5372;12175;74,2;1,7;14620;8604;23475;137614;3,427;1,5
8017;7092;40,9;1,5;0,8;2538,8;11659;60;3,1;14984;8574;23778;138988;3,427;1
7960;6905;40,8;1;1,1;2608,8;11756;60;3,8;15372;8434;24542;147575;3,47086;1
9180;8004;41,1;1;0,4;3208,2;11946;60;4,6;15610;8562;25181;163394;3,65771;2,3
9141;7465;40,8;2,3;1,7;3798,5;12054;56,7;3,2;15290;9201;25101;168446;3,93368;2,4
10043;7648;42;2,4;0,5;3198,7;12161;48,7;2,1;17123;9830;27032;172668;3,92352;0,1
10027;7869;43,4;0,1;0,8;3421,9;12269;45;3,8;17720;10334;27818;182614;3,94971;-1
11981;7932;42,7;-1;1,3;3929;12376;45;3,7;18318;10422;28605;183334;4,00443;
